post_id,platform,post_type,post_time,likes,comments,shares,post_day,sentiment_score
101,Instagram,poll,09/30/2023 01:40,1567,221,718,Saturday,positive
102,Instagram,video,03/11/2023 21:59,1936,464,143,Saturday,positive
103,LinkedIn,text,10/18/2023 08:22,193,593,261,Wednesday,neutral
104,Twitter,video,08/08/2023 02:33,1726,200,252,Tuesday,positive
105,LinkedIn,text,06/27/2023 18:36,3688,173,977,Tuesday,positive
106,Twitter,carousel,05/15/2023 12:01,4755,517,840,Monday,positive
107,Instagram,carousel,05/26/2023 06:44,286,63,527,Friday,positive
108,Facebook,image,08/17/2023 23:01,706,542,536,Thursday,negative
109,Instagram,image,02/13/2023 18:29,330,659,855,Monday,neutral
110,Facebook,image,04/16/2023 10:37,1287,406,617,Sunday,neutral
111,LinkedIn,image,08/29/2023 07:34,457,481,724,Tuesday,positive
112,Twitter,image,06/27/2023 17:24,3166,287,776,Tuesday,negative
113,Facebook,poll,04/25/2023 13:10,1793,365,868,Tuesday,positive
114,Instagram,text,08/05/2023 10:36,4852,157,278,Saturday,neutral
115,LinkedIn,poll,10/05/2023 19:18,1698,545,83,Thursday,neutral
116,Instagram,image,11/05/2023 02:36,2729,557,214,Sunday,positive
117,LinkedIn,text,01/26/2023 04:39,4923,518,299,Thursday,negative
118,Facebook,image,12/20/2023 08:56,1404,785,310,Wednesday,neutral
119,LinkedIn,video,06/21/2023 06:55,1405,621,496,Wednesday,positive
120,LinkedIn,video,11/25/2023 00:21,4518,782,713,Saturday,negative
121,Twitter,image,02/28/2023 01:25,1384,336,886,Tuesday,negative
122,Instagram,carousel,09/15/2023 15:16,1020,619,841,Friday,positive
123,LinkedIn,image,04/27/2023 07:20,2888,667,739,Thursday,neutral
124,Instagram,poll,07/18/2023 22:59,1817,21,235,Tuesday,positive
125,Twitter,carousel,05/05/2023 09:14,1114,135,273,Friday,neutral
126,LinkedIn,text,02/20/2023 04:39,3055,653,657,Monday,neutral
127,Twitter,text,05/26/2023 22:51,2976,648,140,Friday,negative
128,LinkedIn,carousel,11/13/2023 15:16,1030,350,348,Monday,positive
129,Instagram,text,10/08/2023 13:34,917,358,951,Sunday,negative
130,Twitter,video,10/11/2023 00:31,2548,725,937,Wednesday,positive
131,Facebook,poll,02/13/2023 07:20,3279,550,11,Monday,negative
132,LinkedIn,video,01/02/2023 15:16,1849,147,39,Monday,negative
133,Instagram,image,06/29/2023 05:30,1749,516,257,Thursday,negative
134,Twitter,image,04/14/2023 22:09,2432,609,295,Friday,neutral
135,LinkedIn,poll,02/01/2023 15:01,2450,216,465,Wednesday,positive
136,Instagram,text,01/23/2023 10:06,372,31,859,Monday,neutral
137,Twitter,image,08/02/2023 08:35,443,533,913,Wednesday,negative
138,Twitter,video,03/20/2023 22:42,2576,10,297,Monday,negative
139,Facebook,video,02/12/2023 20:43,679,551,537,Sunday,positive
140,Facebook,carousel,04/23/2023 17:21,932,644,618,Sunday,neutral
141,Facebook,video,09/22/2023 07:54,2468,61,833,Friday,negative
142,Twitter,poll,10/16/2023 05:38,4785,500,175,Monday,neutral
143,Instagram,carousel,03/18/2023 17:44,2098,305,612,Saturday,positive
144,Twitter,text,03/09/2023 23:49,2460,337,874,Thursday,neutral
